X--Trace 1::[V(1)],Y--Trace 1::[V(1)],Y--Trace 2::[V(4)]
0,0,2.50557E-21
0.000000625,0.039269807,1.48339E-08
6.56951E-07,0.041277315,1.62364E-08
7.20852E-07,0.045292327,1.92676E-08
8.48655E-07,0.053322326,2.6351E-08
1.10426E-06,0.069382218,4.49976E-08
1.61547E-06,0.101501423,1.04649E-07
2.6379E-06,0.165736359,3.90357E-07
3.76176E-06,0.236336316,1.42986E-06
5.04663E-06,0.317035708,6.95307E-06
6.41638E-06,0.4030441,4.15818E-05
7.87182E-06,0.494399204,0.000292321
9.40681E-06,0.590703283,0.002249473
1.10194E-05,0.691818602,0.015683748
1.27444E-05,0.799899608,0.06735379
1.4365E-05,0.901355337,0.152816981
1.60925E-05,1.009396539,0.258977764
1.81431E-05,1.137500159,0.387078783
2.05593E-05,1.288187627,0.537854698
2.53915E-05,1.588637287,0.838522148
3.5056E-05,2.184867906,1.435219021
5.4385E-05,3.350999033,2.602870811
9.30431E-05,5.518714678,4.77589527
0.000155271,8.280380481,7.555243467
0.000217771,9.795672558,9.115104247
0.000280271,9.819662286,9.509974206
0.000342771,8.348697447,9.450876207
0.000405271,5.606719102,9.391984086
0.000467771,2.011168599,9.333462455
0.000530271,-1.890564092,9.275309411
0.000592771,-5.504475538,9.217522785
0.000655271,-8.280380481,9.160100396
0.000717771,-9.795672558,9.191843931
0.00076687,-9.943875406,9.321004652
0.000810397,-9.288561706,9.372711887
0.000837481,-8.52702319,9.347355978
0.000861903,-7.628366696,9.324551814
0.000892715,-6.241888664,9.295861286
0.000954338,-2.829810192,9.238747337
0.001016838,1.056010703,9.181183439
0.001079338,4.781063541,9.123982408
0.001141838,7.778242795,9.067141466
0.001204338,9.591255094,9.0397249
0.001266838,9.94408575,9.287234365
0.001329338,8.783019493,9.502553978
0.001391838,6.284818137,9.443338837
0.001454338,2.829810192,9.384495809
0.001516838,-1.056010703,9.326023762
0.001579338,-4.781063541,9.267920224
0.001641838,-7.778242795,9.21018283
0.001704338,-9.591255094,9.155268788
0.001766838,-9.94408575,9.301893582
0.001829338,-8.783019493,9.443862442
0.001890039,-6.37236887,9.38670216
0.001949844,-3.099486124,9.330725895
0.002012344,0.774823611,9.272588567
0.002074844,4.531173475,9.214817692
0.002137344,7.597693253,9.157410524
0.002199844,9.507533106,9.101656757
0.002262344,9.96993723,9.314282957
0.002324844,8.914508788,9.522575905
0.002387344,6.501927194,9.463235793
0.002449844,3.099486124,9.404268456
0.002512344,-0.774823611,9.34567291
0.002574844,-4.531173475,9.287446646
0.002637344,-7.597693253,9.229586864
0.002699844,-9.507533106,9.172376828
0.002762344,-9.96993723,9.325702083
0.002824844,-8.914508788,9.476432032
0.002887344,-6.501927194,9.417379214
0.002949844,-3.099486124,9.358697465
0.003012344,0.774823611,9.300385839
0.003074844,4.531173475,9.242441757
0.003137344,7.597693253,9.18486244
0.003199844,9.507533106,9.128375872
0.003262344,9.96993723,9.31830484
0.003324844,8.914508788,9.504739987
0.003387344,6.501927194,9.445510924
0.003449844,3.099486124,9.386653977
0.003512344,-0.774823611,9.328168173
0.003574844,-4.531173475,9.270050981
0.003637344,-7.597693253,9.212299606
0.003699844,-9.507533106,9.155322691
0.003762344,-9.96993723,9.322694583
0.003824844,-8.914508788,9.487170649
0.003887344,-6.501927194,9.428050973
0.003949844,-3.099486124,9.369302763
0.004012344,0.774823611,9.310925063
0.004074844,4.531173475,9.252915311
0.004137344,7.597693253,9.195270724
0.004199844,9.507533106,9.138576376
0.004262344,9.96993723,9.319929509
0.004324844,8.914508788,9.498037514
0.004387344,6.501927194,9.438850181
0.004449844,3.099486124,9.380034716
0.004512344,-0.774823611,9.321590152
0.004574844,-4.531173475,9.263513947
0.004637344,-7.597693253,9.205803311
0.004699844,-9.507533106,9.148927014
0.004762344,-9.96993723,9.32161791
0.004824844,-8.914508788,9.491287084
0.004887344,-6.501927194,9.432141779
0.004949844,-3.099486124,9.373368093
0.005,-1.22465E-14,9.326470796